text,label
"thường uống bia bên q1 nhưng thực_sự thấy quán này giá khá cao , phục_vụ ok .",1
"gỏi rất mặn , đồ nói_chung khá mặn , hải_sản không tươi lắm , phục_vụ ổn , không_gian nhỏ .",0
"ngồi ngoài_trời cảnh đẹp ( vì quán lấn bờ sông nên mát_mẻ ) , phục_vụ bình_thường , giá_cả khá chát .",0
"tệ , phục_vụ không tốt .",0
nhân_viên nhiệt_tình do mới vô quán bắt_đầu gọi món nên chưa đánh_giá đồ_ăn được liền nhưng nhân_viên và chổ ngồi thoải_mái .,1
"quán cần cải_thiện lại cơm , vì quá khô không muốn nói là chưa chín .",1
"đồ_ăn tệ mà giá mắc , nhà_hàng khá bẩn vì mình ngồi 1 chút đã bị muỗi cắn cả người , góp_ý với anh chủ quán thì anh nói lớn_tiếng với mình .",0
"thái_độ nhân_viên đứng máy order không_thể chấp_nhận được , chắc thấy quán đông nên không cần khách nữa thích đuổi là đuổi né liền .",0
"nhân_viên phục_vụ tốt , lên đòi nhanh .",1
nhà_hàng có thái_độ phục_vụ không tốt từ nhân_viên bảo_vệ phục_vụ đến quản_lý đi lần để biết lần sau né .,0
"thái_độ , nhân_viên chửi khách , gọi món cũng rất khó_chịu , lần cuối mình ghé ăn .",0
ở đây hỏng rồi .,0
"phở không ngon , nước phở đục_ngầu , mất vệ_sinh mà giá quá đắt .",0
"quán phục_vụ không đúng với nhu_cầu của khách_hàng , khi khách có yêu_cầu đổi lại thì chủ quán không lịch_sự dùng lời_lẽ thiếu tế_nhị , không tôn_trọng khách_hàng và đuổi khách .",0
"quá tệ , 1 lần và mãi_mãi không bao_giờ đến .",0
"khá tệ , bếp không biết phân_chia công_việc , nguyên_liệu không tươi , không sạch_sẽ làm_việc sơ_sài giống như mới biết bán , quá tệ , để khách chờ 40 phút mới có mì , không chú_ý order .",0
nhiều món ăn ngon mà giá bình_dân .,1
"đồ_ăn ngon , quán sạch_sẽ , mát_mẻ , đúng chất bữa cơm gia_đình , giá hợp_lý , cách trang_trí mang đậm chất miền trung .",1
"không nhận bàn 2 người , thấy đi xe_máy cùi cùi vào bảo hết bàn 2 người trong khi nhìn vào trong còn nhiều chỗ trống .",0
"ăn quen hương_vị , tuy_nhiên vấn_đề vệ_sinh của món bún_chả cũng cần lưu_ý , nhân_viên không có bao_tay khi bốc bún cho khách , đến chiều_tối thì rau bị héo .",1
"combo 2 người , 6 miếng cá , 10 cái lòng , 1 đĩa gỏi cá và 8 miếng bún = 290k .",0
"thức an không được ngon lắm , thái do nhan viên không tốt , khi tính tiền lon lên lon xuống , phuc vu thấy ban gia_đình la kieu như không hai_lòng .",0
"món ăn tươi ngon , giá rẻ so với chất_lượng , anh chủ dễ_thương , chiều khách , mình còn được tặng 1 món đặc_biệt không có trong menu nữa .",1
"nhà_hàng nhỏ tuyệt_vời , đồ_ăn rất ngon ( rất khuyến_khích món cánh_gà ) và nhân_viên thân_thiện và nhanh_chóng .",1
"nhà_hàng món thái chuẩn đông khách , phục_vụ rất tệ chờ món lâu không_khí ngột_ngạt ồn_ào .",0
"nó hơi đắt tiền nhưng đồ_ăn thì ngon , thực_đơn không thân_thiện và không có nhiều món ăn , tôi đã bối_rối vì có quá nhiều bạc_hà táo trong món salad mà tôi gọi , nhưng đó là món ăn địa trung hải .",1
"ngon á mà nhân_viên âm điểm , thái_độ , lâu , kêu không thấy đâu .",0
"không_gian quán đẹp , đồ_ăn ngon .",1
"quán rất ngon nhưng chắc mặt đường trần não nên hơi đắt hơn quán khác à , bà chủ rất vui_tính .",1
ngon và lịch_sự .,1
"nhân_viên rất nhiệt_tình , hay hỏi_thăm xem có cần thêm đồ gì không dịch_vụ tốt , đồ_ăn ngon , nhân_viên thân_thiện vui_vẻ , sẽ quay lại .",1
"mình ăn thấy nước_chấm hợp vị , đồ tươi , rau_sạch , nhân_viên nhiệt_tình , trời nóng oi thì hơi nóng , còn mát trời ăn 10 điểm không có nhưng .",1
định ăn mà thấy đánh_giá fail ghê quá .,0
"ngon lắm sườn ngọt mềm , mộ người nên ăn thử nha , khẩu_phần vừa một ngừoi ăn luôn ạ .",1
"tối thứ 7 mua từ sài_gòn đem về hà_nội ăn vào chiều thứ 2 tuần sau rất ngon , tuy_nhiên trứng cút có mùi phải bỏ .",1
"đồ_ăn nhạt , không có nước_chấm , phải xin , menu đọc khó hiểu , thái_độ quản_lí thì lồi lổm , hỏi thì quản_lí bảo đọc menu cần phải suy_nghĩ , đi ăn mà tưởng đi học triết_học mác , chán .",0
quán ăn đúng hơn .,0
"dạo này quán có_vẻ thay_đổi , không còn được chất_lượng như trước .",1
món ăn quá tệ .,0
mình ăn_ở đây mấy lần đồ_ăn ngon hay mình thích dê nói_chung tiền_nào_của_ấy có dịp sẽ ghé vô làm mấy phe .,1
thái_độ chủ quán nhân_viên ra_mặt đồ thì đắt mà mỗi lúc 1 giá không bao_giờ quay lại .,0
"giá trên menu mập_mờ , khi tính tiền không rõ_ràng , món ăn nhạt_nhẽo dở không phù_hợp .",0
"đồ_ăn ngon , giá hợp_lý , phục_vụ tốt , mình ăn đây chắc trên 10 năm rồi .",1
hôm_nay phục_vụ rất kém dù quán không đông .,0
"quán nhỏ , giá bình_dân , thức_ăn ngon .",1
"hết_sức tệ , làm_ăn không trung_thực , gian_dối xấu_xa , tự tính thêm cho khách , không cho khách kiểm_tra món trước khi ra bill tính tiền , ra bill xong bắt khách thanh_toán món không ăn .",0
"không_gian hơi bé , cơm với đồ_ăn ok , phục_vụ nhiệt_tình , dễ_thương , thân_thiện .",1
"nhà_hàng ấm_cúng , chỗ ngồi đẹp , nhân_viên lịch_sự , món ăn hợp_khẩu vị .",1
"đồ_ăn lên rất chậm , phục_vụ không nhiệt_tình , thiếu chu_đáo , kém chuyên_nghiệp , bếp từ hỏng tôi phải ăn bằng bếp ga , lần đầu cũng là lần cuối .",0
ăn ngon ghê luôn .,1
"nhiều món ăn ngon , đúng xu_hướng hiện_hành , không_gian hơi ngộp , quán mở nhạc hơi lớn , làm cho việc giao_tiếp khá khó_khăn và gây ồn , nhân_viên phục_vụ nhiệt_tình và nhanh_nhẹn .",1
"thái_độ nhân_viên phục_vụ quá kém , đồ_ăn ôi thiu và có mùi , giá cũng hơi đắt nữa với mình thì chỉ một lần đi và không có trở_lại .",0
vừa cắn miếng dưa_chuột đầu_tiên tôi đã bị ấn_tượng bởi mùi dưa_chuột hỏng còn lại thì không dám ăn .,0
rẻ sạch ngon phù_hợp những ngày ăn_chay .,0
"đồ_ăn tươi mà mắc , phục_vụ siêu lâu 1h ra 1 món , nhân_viên hời_hợt quá_sức , sẽ không ghé lại .",0
"vị thái nhưng chưa tới lắm , mực mà nấu_bếp lửa cồn ăn nóng sẽ chua_cay nóng đậm vị ngon hơn ăn lạnh .",1
không rõ nguồn_gốc .,0
"quán ăn ngon , nhân_viên nhiệt_tình , thoág mát .",1
rất hài_lòng .,1
"quán nằm trong ngỏ nhỏ phải gửi xe bên đối_diện , khá là đông khách , bún_chả ăn rất ngon đỉnh hà_nội .",1
"bò viên dai , nước thanh , đặc_biệt tương đen và sa tế rất ngon .",1
"đồ_ăn ngon , nhân_viên vui_vẻ , phục_vụ tận_tình , không_gian đẹp , thoáng mát .",1
"nhà_hàng đẹp rộng thoáng , bàn_ghế rộng , có trang_trí nội_thất gỗ đẹp_mắt , đồ_ăn thức uống tốt và ngon , giá cho 1 người ăn khoảng 30000 vnđ .",1
"ngon tuyệt , bánh_tráng gây thương_nhớ , từ hạ_long phải mò tận lên hà_nội để ăn bánh_tráng .",1
"đặc_sản của quán là chờ khá lâu tôi không thích điều này , còn thì có món gà không lối_thoát thì khá ngon .",1
chị nhân_viên dễ_thương .,1
"đồ_ăn , uống tạm đươc , giá cao có tính thêm phí dịch_vụ và thuế , từ tối t6 , cả ngày t7 , cn có phố đi bộ có_thể nghỉ_chân và ngắm cảnh tại đây .",1
"đồ_ăn lên chậm , dịch_vụ kém , thái_độ nhân_viên phục_vụ khó_chịu không chuyên_nghiệp .",0
gỏi cá_trích hấp_dẫn du_khách đây .,1
"nhân_viên thái_độ không tốt , lời_lẽ khó_chịu , thiếu thân_thiện , 23h đóng_cửa 22h đến ăn như muốn đuổi khách , nếu muốn đóng_cửa sớm thì 22h đóng_cửa là được mà , không có lần sau ạ .",0
do an lam ban phuc vu sieu te .,0
"kichikichi áp_dụng combo kỳ_cục , đi ăn 4 người nhưng chỉ có 1 người muốn ăn kem mà nhân_viên tư_vấn là 4 người phải thêm mỗi người 25k .",0
sạch_sẽ lịch_sự .,1
quán ưa_thích của mình mình hay gọi lẩu hàu và ốc_bươu nhồi thịt là 2 món must try của quán luôn nha chị chủ quá cũng siêu dễ_thương hôm trước đi ăn còn được tặng thêm đĩa da_gà chiên .,1
"cs văn quán gọi book bàn từ chủ_nhật , tối nay đến đúng giờ thì báo hết bàn , dịch_vụ quá tồi .",0
"không_gian ổn , đồ_ăn ổn , nhân_viên nice , nchung hợp_lý với giá tiền .",1
thái_độ quá chán cho 1 sao không sai .,0
"quán nhậu có nhiều tiếp_viên chân dài xinh_đẹp , phục_vụ tốt , giá_cả chấp_nhận được .",1
"khá ngon , không rành cho khách bình_dân .",1
chưa ăn bún_bò huế ở đâu mà ngon như ở đây .,1
"nhân_viên phục_vụ tệ , như kiểu không tôn_trọng khách_hàng , đồ_ăn thì cũng tạm chỉ vì một người phục_vụ tệ mà mất vui cả bữa ăn .",0
"quán ngon , cô_chú dễ_thương lắm mọi người .",1
quán ăn tệ giá đắt phục_vụ chậm điều_hoà nóng .,0
"không_gian rộng và thoáng , thức_ăn khá ngon , phục_vụ ổn , giá_cả tạm ổn , đậu xe oto đối_diện bên đường .",1
"quán ngon , sạch_sẽ thoáng mát lắm nhân_viên dthuong .",1
"giờ khuyến_mãi đặc_biệt tuyệt_vời từ 4 - 7 , rất khuyến_khích xoáy và bơ thực_vật , thức_ăn ngon , nhân_viên thân_thiện và có một bầu_không_khí nhộn_nhịp đáng yêu .",1
"dịch_vụ kém , nhân_viên quá kém .",0
"vào ăn tối 8 / 8 , nhân_viên nữ không thèm mở mồm nói một câu từ khi khách bước vào đến lúc giao đồ_ăn , lúc ra về nên xem_lại .",0
"lũ mất_dạy , xung_quanh đang giờ học của trường cấp 2 , giờ lễ của nhà_thờ thủ_đức mà tụi nó đánh trống mỡ nhạc ầm_ĩ .",0
đang ăn mất điện hơn nửa tiếng vẫn chưa có vẫn đang chờ nóng như cái lò .,0
"quá tuyệt_vời cho trải_nghiệm ở the deck nhân_viên rất nhiệt_tình , bãi đậu xe rộng , view siêu thoáng và đẹp .",1
"quán phục_vụ khá , chỗ ngồi chưa đẹp .",1
"đồ hải_sản tươi , ăn khá vừa_miệng .",1
"quán thì không có nhân_viên tư_vấn , vào quán gặp nhân_viên thì ngồi bấm điện_thoại không hỏi_han gì , ăn phải con hàu bị thối ghê vãi , giờ nghĩ_lại vẫn buồn_nôn , sẽ không có lần 2 .",0
có nước sâm dứa ngon phết nhen lần sau ăn típ .,1
"thái_độ nhân_viên rất tệ , giá đắt gấp 5 - 7 lần bên ngoài nhưng cách phục_vụ thua quán lề_đường .",0
"nhân_viên phục_vụ thái_độ không nhiệt_tình , sẽ không quay lại lần 2 .",0
"trước đi ăn_ở phan bội châu thì ngon , hôm_nay ăn_ở royal thì phải đánh_giá quá tệ hãy để không cảm_thấy giá cao vì đồ_ăn chất_lượng .",0
trưa vào .,0
"nhà_hàng chỗ để xe nhỏ , bếp bẩn , bốc lột nhân_viên .",0
quá tệ quán thì không đông khách trong khi có 1 món gà mà làm hơn 40p khó hỉu .,0
"đồ_ăn bình_thường , việc xuất hoá_đơn chậm , phải gọi yêu_cầu nhiều lần .",1
35k cho 1 ổ bánh_mì ốp la .,0
khá dở .,0
"phục_vụ đông nên tương_đối nhanh , điểm cộng là nằm gần sông nên thoáng .",1
"đồ_ăn ngon , không_gian đẹp , chỉ có điểm trừ là ít khi có chỗ nếu không đặt bàn trước .",1
"nhà_hàng này thoáng mát , khách đến ăn_uống đông lắm , quán rộng_rãi , có hai tầng mát_mẻ , giá_cả phải_chăng , nhân_viên phục_vụ chu_đáo , món ăn_làm nhanh , ăn ổn , có bãi giữ xe hai bánh chu_đáo .",1
dịch_vụ ok .,0
khá ổn trong tầm giá .,1
"dịch_vụ rất chậm , thái_độ nhân_viên không tốt thiếu đồ không có chính_sách bù , nhiều trẻ_con ồn_ào .",0
"thức_ăn ổn , không_khí có phần u_ám không biết tại_sao , hummus ở đây ngon .",1
"thực_sự rất đắt so với giá các chuỗi khác , ăn 1 lần sợ luôn .",0
"bị ngộ_độc thực_phẩm nặng , từ lúc đang ăn_ở quán đến lúc về , sang ngày thứ 2 vẫn chưa khỏi , đồ_ăn ngon nhưng thật dã_man , người đi cùng cũng bị tiêu_chảy .",0
"mãi 1 tình_yêu với chang pxl , đặt bàn trước còn được giảm_giá nhân_viên thân_thiện , cười mãi thoai , thịt heo gì gì á ăn ghiền vãi món nào cũng hợp_khẩu vị với tui hết á má .",1
"ngon , rẻ , gieo duyên lành .",1
"giá chát thì_thôi , ăn chán đã_đành , bỏ đĩa quẩy ra tưởng ăn kèm ai dè tính tiền vcl , đến cả cái khăn giấy còn không có , cứ như nhà_hàng năm sao .",0
"bản_thân mình từng làm sushi theo kinh_nghiệm của mình có được thì đồ_ăn của quán rất tươi và ngon , nhân_viên vui_vẻ nhiệt_tình niềm nỡ với khách_hàng , giá_cả ổn_định .",1
món ăn ngon nhà_hàng phục_vụ rất tốt .,1
"đồ chay đây khá ngon và rẻ , đặc_biệt dành cho sv vào cuối tháng .",1
"nhân_viên phục_vụ như bố đời , đồ_ăn không bao_giờ quay lại nữa .",0
"quán phở ngon , ăn quài thành khách mối , cô_chú chủ quán dễ_thương , còn con trai cô_chú chán lắm , tán quài không đổ , buồn ghê_gớm .",1
ngon rẻ view ổn .,1
"ăn_ở đây 4 lần , lần nào cũng phục_vụ rất chậm , lần này , kêu 2 phần cho 2 người , hơn 30p sau chỉ mang ra 1 , ăn hết phần này còn chưa mang phần kia ra .",0
"quán sạch_sẽ , giá khá cao nhưng chất_lượng đồ_ăn cũng chỉ như các quán ăn vỉa_hè .",0
"chưa nơi nào mình thấy tệ_hại như ở đây , chờ cả tiếng đồng_hồ không có đồ_ăn , ý_thức nhân_viên quá tệ .",0
món tươi và ngon thật_sự đồ tươi cho mình chọn luôn nhân_viên chu_đáo .,1
nha hang linh_chi duong le van luong .,1
"đồ_ăn của quán ngon lắm ạ , nhân_viên cũng dễ_thương nữa , lần sau sẽ ủng_hộ quán tiếp ạ .",1
quá chậm_chạp .,0
"đồ_ăn ngon , dịch_vụ ok , nhanh .",1
"quán nhỏ nằm ngay mặt đường chính , tiện ghé , có các loại sợi bánh_canh khác nhau làm từ bột mỳ , bột gạo lưt , bột gạo_tẻ và bột mè , cá tươi và nước dùng vừa_miệng .",1
"nội_thất sang_trọng phục_vụ ân_cần và cũng tạo điều_kiện cho bên thứ 3 hỗ_trợ khách đặc tiệt , nhân_viên thì nhiệt_tình , quản_lý chu_đáo và vui_vẻ , túm cái váy lại là ok , duyệt .",1
"dịch_vụ trong nhà_hàng rất tốt , nhân_viên trông xe thì kiêu_ngạo .",0
"quá là mắc , 1 tô nghêu 300k , mà nấu chung nồi thịt nghêu rớt đâu mất , 1 tô có 4 miêng thịt nghêu , liên_hệ nhân_viên và quản_lý thì giải_thích nâuus chung nồi nên tô nhiều tô ít .",0
"ăn nhiều lần vẫn thấy hài_lòng , thức_ăn ngon , nhân_viên thân_thiện .",1
"món ăn ngon , nước_chấm hợp vị mấy em nhân_viên ngoan , lễ_phép , có nhân_viên dắt xe nhiệt_tình , nên thử nhé mọi người , à có_điều hoà mát lạnh .",1
"món ăn bình_thường , nướng đợi lâu , đang ăn thiếu mà gọi thêm đồ thì rất khó nên đành nhịn đi ăn quán khác .",0
"đồ_ăn ở đây ngon , tươi , giá_cả hợp_lý , tuyệt_vời , món nào cũng ngon , nhưng các bạn nên gọi món ốc xào sả ớt ấy , ngon thật_sự .",1
"thái_độ nhân_viên phục_vụ rất tệ , nhân_viên trong ca rất đông , nhưng đứng đó nhìn không dọn bàn cho không , kêu thì ngáo ngơ không trả_lời .",0
ở đây không training nhân_viên à làm dịch_vụ nhưng nhân_viên phục_vụ có thái_độ rất tệ thay_vì phục_vụ khách_hàng thì lại thái_độ với khách .,0
ngon và giá cao nhưng xứng_đáng .,1
quán ăn ngon vị đậm_đà .,1
"nhân_viên như bà nội người ta , hống_hách .",0
"thức_ăn dở , bở , có vài món ăn vào hôi mùi gián , nhân_viên quên cả thối tiền cho khách .",0
"đã ăn nhiều lần nhưng nhân_viên không tốt , không nhiệt_tình , có lần còn mang đồ_ăn ra nhưng không mang rau cuốn trong khi khách chưa có .",0
"phở rán trứng tại đây có một sự khác_biệt so với các nơi khác , độ giòn của vỏ bánh kết_hợp với vị béo của trứng , tạo nên một trải_nghiệm ẩm_thực khó quên .",1
cháo nấu giống như bột ăn không ngon tệ hơn cháo vỉa_hè lại mắc nũa 2 tô cháo mà đến 240k không có gì đặc_sắc ( đậu xe lề_đường nhân_viên thu 50k ăn_nói hầm hồ doạ_nạt khách ) .,0
mì hoành_thánh rẻ và ngon mùi_vị khi ăn tôm khô là đó là nghệ_thuật .,1
"trà thái đỏ cực tệ , không nên thử .",0
"trước món chính , 7 - 8 món đều rất chua nên tôi cảm_thấy như bị mất đi nhiều hương_vị và vị_giác khi ăn món chính , chất_lượng vật_liệu kém so với giá tiền .",0
"món ăn ngon , không_gian đẹp , sang_trọng , phục_vụ tốt có phòng riêng lớn phù_hợp với cty đi đông người .",1
"phần thập_cẩm 50k nhiều loại , viên há cảo khá bự , phục_vụ nhiệt_tình .",1
chỗ tốt nhất để thưởng_thức hương_vị mì quảng độc_đáo của địa_phương .,1
"đồ_ăn chất_lượng , giá ổn , mấy món dimsum ngon , sa tế sò điệp ở đây miễn bàn , không quá cay nha , bị cái tính tiền lâu .",1
quán đẹp ngon .,1
đồ_ăn càng_ngày_càng dỡ nhân_viên khinh_thường khách quán càng_ngày_càng đi xuống .,0
chỗ ngồi còn lộn_xộn lắm .,1
"nhân_viên mất lịch_sự , vô_cùng .",0
"đồng xu nhỏ dễ_thương ở hồ_chí_minh , cà_phê được pha_chế hoàn_hảo theo sở_thích của chúng_tôi từ úc và châu_âu , thức_ăn có giá hợp_lý , dịch_vụ đã hoàn_hảo nhân_viên rất tốt ở đây .",1
tối 17 / 6 mình đi ăn với bạn quán đông chật còn gặp bạn nhân_viên nữ đeo khẩu_trang trắng mặt quạu_quọ liên_tục thật khó_chịu mất tâm_trạng ăn thật_sự .,0
"nước_lèo ngọt thanh không quá mặn mình gọi hai tô hủ_tiếu xương ăn rất no và ngon , luôn_luôn ủng_hộ quán .",1
"nước dùng ngon đặc_trưng , thịt bò , bắp bò ngọt , mỗi_tội giá hơi cao .",1
"làm đồ lâu , nhân_viên mặt như đưa_đám ấy .",0
"pizza hải_sản tropical là ngon nhất , còn mấy vị classic , hầu_như với mình đều không ngon , đi thứ 4 ngày buy 1 get 1 quán ồn kinh_khủng .",1
quá tồi_tệ chủ không có tâm .,0
"nước phở chán , bánh_phở chán , thịt gà chán , đến tương_ớt cũng chán , giá 30k / bát .",0
"tiệm chay dễ_thương lắm ạ , tiện đi_lại .",1
